['<start> 3asslema : <end>', '<start> مرحبا <end>']
['<start> ejri !  <end>', '<start> : اركض !  <end>']
['<start> 3aweni ! : <end>', '<start> النجدة !  <end>']
['<start> nagez ! : <end>', '<start> اقفز !  <end>']
['<start> a7bes ! : <end>', '<start> قف !  <end>']
['<start> dawem . : <end>', '<start> داوم .  <end>']
['<start> kamel .  <end>', '<start> :استمر .  <end>']
['<start> asslema !  <end>', '<start> مرحبا: .  <end>']
['<start> ezreb !  <end>', '<start> :تعجل !  <end>']
['<start> fissa3 ! : <end>', '<start> استعجل <end>']
['<start> nchouf .  <end>', '<start> :انا اري <end>']
['<start> ena rbe7t !  <end>', '<start> :انا فزت !  <end>']
['<start> arte7 .  <end>', '<start> :استرح .  <end>']
['<start> adh7ak . : <end>', '<start> ابتسم .  <end>']
['<start> sa7a: <end>', '<start> في صحتك .  <end>']
['<start> fhemt ? : <end>', '<start> هل فهمت؟ <end>']
['<start> yejri <end>', '<start> :ركض .  <end>']
['<start> na3raf: <end>', '<start> اعرف .  <end>']
['<start> na3raf heka . : <end>', '<start> اعلم ذلك .  <end>']
['<start> ena na3raf: <end>', '<start> انا اعلم <end>']
['<start> ena labes : <end>', '<start> انا بخير .  <end>']
['<start> assma3: <end>', '<start> استمع <end>']
['<start> mch 3adi: <end>', '<start> غير معقول !  <end>']
['<start> bel7a9: <end>', '<start> حقا؟ <end>']
['<start> 3aychek: <end>', '<start> شكرا .  <end>']
['<start> aychek: <end>', '<start> شكرا .  <end>']
['<start> 3lech ena : <end>', '<start> لماذا انا؟ <end>']
['<start> belgde: <end>', '<start> رايع !  <end>']
['<start> khouth ra7tek: .  <end>', '<start> خذ راحتك .  <end>']
['<start> kalmni: <end>', '<start> هاتفني .  <end>']
['<start> kalamni . : <end>', '<start> اتصل بي .  <end>']
['<start> odkhol: <end>', '<start> تفضل بالدخول .  <end>']
['<start> ija odkhol: .  <end>', '<start> تعال الى الداخل <end>']
['<start> belah ! : <end>', '<start> بالله عليك !  <end>']
['<start> haya: <end>', '<start> هيا <end>']
['<start> ija: <end>', '<start> هيا <end>']
['<start> okhroj mena ! : <end>', '<start> اخرج من هنا !  <end>']
['<start> okhroj: <end>', '<start> اخرج !  <end>']
['<start> o5roj: <end>', '<start> اخرج !  <end>']
['<start> sayabni: <end>', '<start> اتركني و شاني .  <end>']
['<start> emchi b3id: .  <end>', '<start> اذهب بعيدا .  <end>']
['<start> emchi: <end>', '<start> ارحل .  <end>']
['<start> beslema: <end>', '<start> مع السلامة .  <end>']
['<start> haw ja <end>', '<start> :لقد اتى .  <end>']
['<start> haw yejri <end>', '<start> :هو يجري <end>']
['<start> 3aweni ! : <end>', '<start> ساعدني !  <end>']
['<start> aweni: <end>', '<start> النجدة ! ساعدني !  <end>']
['<start> ena 7zin . : <end>', '<start> انا حزين .  <end>']
['<start> 7ata ena : <end>', '<start> انا ايضا .  <end>']
['<start> oskot: <end>', '<start> اخرس !  <end>']
['<start> osss: <end>', '<start> اسكت !  <end>']
['<start> saker fomek: <end>', '<start> اغلق فمك !  <end>']
['<start> wa9fou: <end>', '<start> اوقفه <end>']
['<start> khouth: <end>', '<start> خذه <end>']
['<start> a7kili . : <end>', '<start> اخبرني <end>']
['<start> rbe7 <end>', '<start> فاز .  <end>']
['<start> haw rbe7: <end>', '<start> لقد ربح .  <end>']
['<start> 9oum: <end>', '<start> استيقظ !  <end>']
['<start> noudh: <end>', '<start> استيقظ !  <end>']
['<start> ahla w sahla . : <end>', '<start> اهلا و سهلا !  <end>']
['<start> mar7ba bik: <end>', '<start> مرحبا بك !  <end>']
['<start> ahlan w sahlan . : <end>', '<start> اهلا وسهلا <end>']
['<start> mar7ba .  <end>', '<start> :مرحبا !  <end>']
['<start> chkoun rbe7 ? : <end>', '<start> من فاز؟ <end>']
['<start> chkounou rbe7 ? : <end>', '<start> من الذي ربح؟ <end>']
